CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,0.977988
0,lt,up_ntrk,0,0,2.4,30,50,0,1,0.973664
0,lt,up_njet,0,0,2.4,30,50,0,1,0.976887
0,lt,up_mupt,0,0,2.4,30,50,0,1,0.976911
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.978006
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.980191
0,lt,up_dmux,0,0,2.4,30,50,0,1,0.977988
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.977988
0,lt,up_ksl,0,0,2.4,30,50,0,1,0.977996
0,lt,up_jes,0,0,2.4,30,50,0,1,0.979231
0,lt,down_ntrk,0,0,2.4,30,50,0,1,0.977988
0,lt,down_njet,0,0,2.4,30,50,0,1,0.977988
0,lt,down_mupt,0,0,2.4,30,50,0,1,0.977988
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.978073
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.973553
0,lt,down_dmux,0,0,2.4,30,50,0,1,0.97758
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.9788
0,lt,down_ksl,0,0,2.4,30,50,0,1,0.977988
0,lt,down_jes,0,0,2.4,30,50,0,1,0.976974
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.981018
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.974958
0,lt,up_cb,0,0,2.4,30,50,0,1,0.983715
0,lt,down_cb,0,0,2.4,30,50,0,1,0.972261
0,lt,up_add,0,0,2.4,30,50,0,1,1.00022
0,lt,down_add,0,0,2.4,30,50,0,1,0.95576
0,lt,up,0,0,2.4,30,50,0,1,1.00172
0,lt,down,0,0,2.4,30,50,0,1,0.945557
0,lt,central,0,0,2.4,50,70,0,1,0.975758
0,lt,up_ntrk,0,0,2.4,50,70,0,1,0.982762
0,lt,up_njet,0,0,2.4,50,70,0,1,0.97512
0,lt,up_mupt,0,0,2.4,50,70,0,1,0.974651
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.975923
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.976637
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.975758
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.975758
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.975731
0,lt,up_jes,0,0,2.4,50,70,0,1,0.977534
0,lt,down_ntrk,0,0,2.4,50,70,0,1,0.975758
0,lt,down_njet,0,0,2.4,50,70,0,1,0.975758
0,lt,down_mupt,0,0,2.4,50,70,0,1,0.975758
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.97587
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.974789
0,lt,down_dmux,0,0,2.4,50,70,0,1,0.977118
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.982205
0,lt,down_ksl,0,0,2.4,50,70,0,1,0.975758
0,lt,down_jes,0,0,2.4,50,70,0,1,0.974112
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.979457
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.972059
0,lt,up_cb,0,0,2.4,50,70,0,1,0.979311
0,lt,down_cb,0,0,2.4,50,70,0,1,0.972205
0,lt,up_add,0,0,2.4,50,70,0,1,1.01792
0,lt,down_add,0,0,2.4,50,70,0,1,0.933595
0,lt,up,0,0,2.4,50,70,0,1,1.02659
0,lt,down,0,0,2.4,50,70,0,1,0.921875
0,lt,central,0,0,2.4,70,100,0,1,0.959534
0,lt,up_ntrk,0,0,2.4,70,100,0,1,0.972082
0,lt,up_njet,0,0,2.4,70,100,0,1,0.959686
0,lt,up_mupt,0,0,2.4,70,100,0,1,0.953495
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.9611
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.959589
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.959535
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.959535
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.959522
0,lt,up_jes,0,0,2.4,70,100,0,1,0.960913
0,lt,down_ntrk,0,0,2.4,70,100,0,1,0.959535
0,lt,down_njet,0,0,2.4,70,100,0,1,0.959535
0,lt,down_mupt,0,0,2.4,70,100,0,1,0.959535
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.957616
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.958666
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.958919
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.958563
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.959535
0,lt,down_jes,0,0,2.4,70,100,0,1,0.957104
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.962687
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.956381
0,lt,up_cb,0,0,2.4,70,100,0,1,0.962057
0,lt,down_cb,0,0,2.4,70,100,0,1,0.957011
0,lt,up_add,0,0,2.4,70,100,0,1,0.976496
0,lt,down_add,0,0,2.4,70,100,0,1,0.942572
