CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,1.00882
0,lt,up_ntrk,0,0,2.4,30,50,0,1,1.00831
0,lt,up_njet,0,0,2.4,30,50,0,1,1.00691
0,lt,up_mupt,0,0,2.4,30,50,0,1,1.00681
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,1.00698
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,1.0104
0,lt,up_dmux,0,0,2.4,30,50,0,1,1.00882
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,1.00882
0,lt,up_ksl,0,0,2.4,30,50,0,1,1.00883
0,lt,up_jes,0,0,2.4,30,50,0,1,1.00874
0,lt,down_ntrk,0,0,2.4,30,50,0,1,1.00882
0,lt,down_njet,0,0,2.4,30,50,0,1,1.00882
0,lt,down_mupt,0,0,2.4,30,50,0,1,1.00882
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,1.01096
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,1.00583
0,lt,down_dmux,0,0,2.4,30,50,0,1,1.01013
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,1.0138
0,lt,down_ksl,0,0,2.4,30,50,0,1,1.00882
0,lt,down_jes,0,0,2.4,30,50,0,1,1.00842
0,lt,up_statistic,0,0,2.4,30,50,0,1,1.01204
0,lt,down_statistic,0,0,2.4,30,50,0,1,1.00561
0,lt,up_cb,0,0,2.4,30,50,0,1,1.0178
0,lt,down_cb,0,0,2.4,30,50,0,1,0.999852
0,lt,up_add,0,0,2.4,30,50,0,1,1.05108
0,lt,down_add,0,0,2.4,30,50,0,1,0.966569
0,lt,up,0,0,2.4,30,50,0,1,1.05253
0,lt,down,0,0,2.4,30,50,0,1,0.965271
0,lt,central,0,0,2.4,50,70,0,1,1.00384
0,lt,up_ntrk,0,0,2.4,50,70,0,1,1.0032
0,lt,up_njet,0,0,2.4,50,70,0,1,1.00318
0,lt,up_mupt,0,0,2.4,50,70,0,1,1.00279
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,1.00304
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,1.0041
0,lt,up_dmux,0,0,2.4,50,70,0,1,1.00384
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,1.00384
0,lt,up_ksl,0,0,2.4,50,70,0,1,1.00384
0,lt,up_jes,0,0,2.4,50,70,0,1,1.00398
0,lt,down_ntrk,0,0,2.4,50,70,0,1,1.00384
0,lt,down_njet,0,0,2.4,50,70,0,1,1.00384
0,lt,down_mupt,0,0,2.4,50,70,0,1,1.00384
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,1.00512
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,1.00349
0,lt,down_dmux,0,0,2.4,50,70,0,1,1.00473
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,1.00882
0,lt,down_ksl,0,0,2.4,50,70,0,1,1.00384
0,lt,down_jes,0,0,2.4,50,70,0,1,1.00365
0,lt,up_statistic,0,0,2.4,50,70,0,1,1.00743
0,lt,down_statistic,0,0,2.4,50,70,0,1,1.00026
0,lt,up_cb,0,0,2.4,50,70,0,1,1.00831
0,lt,down_cb,0,0,2.4,50,70,0,1,0.999377
0,lt,up_add,0,0,2.4,50,70,0,1,1.03852
0,lt,down_add,0,0,2.4,50,70,0,1,0.969166
0,lt,up,0,0,2.4,50,70,0,1,1.03938
0,lt,down,0,0,2.4,50,70,0,1,0.968656
0,lt,central,0,0,2.4,70,100,0,1,0.97593
0,lt,up_ntrk,0,0,2.4,70,100,0,1,0.989218
0,lt,up_njet,0,0,2.4,70,100,0,1,0.976526
0,lt,up_mupt,0,0,2.4,70,100,0,1,0.969725
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.974266
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.974955
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.97593
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.97593
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.975917
0,lt,up_jes,0,0,2.4,70,100,0,1,0.977783
0,lt,down_ntrk,0,0,2.4,70,100,0,1,0.97593
0,lt,down_njet,0,0,2.4,70,100,0,1,0.97593
0,lt,down_mupt,0,0,2.4,70,100,0,1,0.97593
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.978024
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.975984
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.975054
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.97289
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.97593
0,lt,down_jes,0,0,2.4,70,100,0,1,0.974359
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.979095
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.972765
0,lt,up_cb,0,0,2.4,70,100,0,1,0.979214
0,lt,down_cb,0,0,2.4,70,100,0,1,0.972646
0,lt,up_add,0,0,2.4,70,100,0,1,0.997191
0,lt,down_add,0,0,2.4,70,100,0,1,0.954669
0,lt,up,0,0,2.4,70,100,0,1,1.00157
0,lt,down,0,0,2.4,70,100,0,1,0.952962
0,lt,central,0,0,2.4,100,140,0,1,0.990617
0,lt,up_ntrk,0,0,2.4,100,140,0,1,0.994859
0,lt,up_njet,0,0,2.4,100,140,0,1,0.990235
0,lt,up_mupt,0,0,2.4,100,140,0,1,0.988549
0,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.990076
0,lt,up_bfragmentation,0,0,2.4,100,140,0,1,0.990559
0,lt,up_dmux,0,0,2.4,100,140,0,1,0.990617
0,lt,up_cfragmentation,0,0,2.4,100,140,0,1,0.990617
0,lt,up_ksl,0,0,2.4,100,140,0,1,0.990601
0,lt,up_jes,0,0,2.4,100,140,0,1,0.991174
0,lt,down_ntrk,0,0,2.4,100,140,0,1,0.990617
0,lt,down_njet,0,0,2.4,100,140,0,1,0.990617
0,lt,down_mupt,0,0,2.4,100,140,0,1,0.990617
0,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.990974
0,lt,down_bfragmentation,0,0,2.4,100,140,0,1,0.989685
0,lt,down_dmux,0,0,2.4,100,140,0,1,0.990379
0,lt,down_cfragmentation,0,0,2.4,100,140,0,1,0.989268
0,lt,down_ksl,0,0,2.4,100,140,0,1,0.990617
0,lt,down_jes,0,0,2.4,100,140,0,1,0.990616
0,lt,up_statistic,0,0,2.4,100,140,0,1,0.993212
0,lt,down_statistic,0,0,2.4,100,140,0,1,0.988022
0,lt,up_cb,0,0,2.4,100,140,0,1,0.9936
0,lt,down_cb,0,0,2.4,100,140,0,1,0.987634
0,lt,up_add,0,0,2.4,100,140,0,1,0.999758
0,lt,down_add,0,0,2.4,100,140,0,1,0.981476
0,lt,up,0,0,2.4,100,140,0,1,1.00146
0,lt,down,0,0,2.4,100,140,0,1,0.980289
0,lt,central,0,0,2.4,140,200,0,1,0.986891
0,lt,up_ntrk,0,0,2.4,140,200,0,1,0.991108
0,lt,up_njet,0,0,2.4,140,200,0,1,0.986231
0,lt,up_mupt,0,0,2.4,140,200,0,1,0.985586
0,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.987328
0,lt,up_bfragmentation,0,0,2.4,140,200,0,1,0.985871
0,lt,up_dmux,0,0,2.4,140,200,0,1,0.986891
0,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.986891
0,lt,up_ksl,0,0,2.4,140,200,0,1,0.98689
0,lt,up_jes,0,0,2.4,140,200,0,1,0.986233
0,lt,down_ntrk,0,0,2.4,140,200,0,1,0.986891
0,lt,down_njet,0,0,2.4,140,200,0,1,0.986891
0,lt,down_mupt,0,0,2.4,140,200,0,1,0.986891
0,lt,down_gluonsplitting,0,0,2.4,140,200,0,1,0.986134
0,lt,down_bfragmentation,0,0,2.4,140,200,0,1,0.987128
0,lt,down_dmux,0,0,2.4,140,200,0,1,0.986463
0,lt,down_cfragmentation,0,0,2.4,140,200,0,1,0.987192
0,lt,down_ksl,0,0,2.4,140,200,0,1,0.986891
0,lt,down_jes,0,0,2.4,140,200,0,1,0.986334
0,lt,up_statistic,0,0,2.4,140,200,0,1,0.990263
0,lt,down_statistic,0,0,2.4,140,200,0,1,0.983519
0,lt,up_cb,0,0,2.4,140,200,0,1,0.989602
0,lt,down_cb,0,0,2.4,140,200,0,1,0.98418
0,lt,up_add,0,0,2.4,140,200,0,1,1.004
0,lt,down_add,0,0,2.4,140,200,0,1,0.969783
0,lt,up,0,0,2.4,140,200,0,1,1.00504
0,lt,down,0,0,2.4,140,200,0,1,0.969112
0,lt,central,0,0,2.4,200,300,0,1,0.996551
0,lt,up_ntrk,0,0,2.4,200,300,0,1,1.00976
0,lt,up_njet,0,0,2.4,200,300,0,1,0.996286
0,lt,up_mupt,0,0,2.4,200,300,0,1,0.995897
