# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272929,None,None,1,HLT_PFJet140_v4,ONE,L1_SingleJet90
272930,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272930,17,5,28000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/700
272930,156,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272930,160,5,28000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/700
272921,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272923,1,5,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/700
272925,None,None,1,HLT_PFJet140_v4,ONE,L1_SingleJet90
272926,1,6,1,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/1
272936,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272935,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272935,5,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272935,30,12,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272935,66,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273017,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
273017,11,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273063,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273012,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
273012,5,12,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
273013,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273136,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
273136,4,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
251163,1,7,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251562,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251604,1,10,0,HLT_PFJet140_v2/0,ONE,L1_SingleJet92/65537
251604,16,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251633,5,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
251635,31,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
256865,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256866,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256867,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256867,26,6,800,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/400
256867,55,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256867,56,6,800,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/400
256868,1,6,800,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/400
256868,382,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256869,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256924,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
256924,11,4,3000,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/1500
257682,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257682,75,6,800,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/400
257751,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258174,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258174,22,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258174,161,1,3000,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/3000
258175,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258177,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258211,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258214,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258215,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258282,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
272907,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272907,12,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272908,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272908,5,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
273006,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
273006,4,12,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
273138,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273150,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
273150,4,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273150,40,5,28000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/700
273143,1,6,1,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/1
273145,1,6,1,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/1
273142,None,None,1,HLT_PFJet140_v4,ONE,L1_SingleJet90
273146,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273158,1,5,28000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/700
273158,17,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
273158,32,5,28000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/700
273276,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
253887,43,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254279,1,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254279,5,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254279,9,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254279,10,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
256842,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
256842,6,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258742,1,4,1500,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/1500
258749,1,4,1500,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/1500
258750,1,4,1500,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/1500
258959,1,1,6000,HLT_PFJet140_v3/2,ONE,L1_SingleJet92/3000
258959,12,5,800,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/800
272681,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272681,11,1,140000,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/3500
272682,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272680,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272680,13,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272728,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272728,58,12,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272728,104,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272729,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272746,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272747,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272748,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272748,9,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272750,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272762,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272786,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272787,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272782,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272782,48,10,8,HLT_PFJet140_v4/8,ONE,L1_SingleJet90/1
272785,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272784,1,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272783,1,10,8,HLT_PFJet140_v4/8,ONE,L1_SingleJet90/1
272798,1,9,12,HLT_PFJet140_v4/12,ONE,L1_SingleJet90/1
272798,90,10,8,HLT_PFJet140_v4/8,ONE,L1_SingleJet90/1
272791,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272791,21,11,4,HLT_PFJet140_v4/4,ONE,L1_SingleJet90/1
272809,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272814,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272818,1,7,30,HLT_PFJet140_v4/30,ONE,L1_SingleJet90/1
272807,1,0,0,HLT_PFJet140_v4/1,ONE,L1_SingleJet90/0
272812,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272816,1,7,30,HLT_PFJet140_v4/30,ONE,L1_SingleJet90/1
272811,1,6,40,HLT_PFJet140_v4/40,ONE,L1_SingleJet90/1
272815,1,0,0,HLT_PFJet140_v4/80,ONE,L1_SingleJet90/0
272815,6,7,30,HLT_PFJet140_v4/30,ONE,L1_SingleJet90/1
254282,6,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254282,9,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254289,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
256935,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
256935,2,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256936,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256941,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257024,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
257398,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257399,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257460,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
257490,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257529,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
257529,4,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257529,11,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
257529,12,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257598,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257599,2,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258335,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258403,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258403,9,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258403,18,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
258403,19,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258423,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258425,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258427,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258428,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258703,1,4,1500,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/1500
258703,262,5,800,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/800
260583,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
260583,3,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
254230,1,1,1000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/1000
254230,21,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254232,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
256629,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256630,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256672,1,1,12000,HLT_PFJet140_v3/4,ONE,L1_SingleJet92/3000
256672,7,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
256673,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
251522,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251523,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251559,1,10,0,HLT_PFJet140_v2/0,ONE,L1_SingleJet92/65537
251559,65,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251560,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251561,1,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251612,1,10,0,HLT_PFJet140_v2/0,ONE,L1_SingleJet92/65537
251612,11,6,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
251636,1,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
251640,1,5,2000,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/2000
254293,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254294,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254308,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254310,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254362,1,9,100,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/100
257027,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257397,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257400,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
257824,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
258310,1,1,3000,HLT_PFJet140_v3/1,ONE,L1_SingleJet92/3000
272023,1,0,0,HLT_PFJet140_v4/2,ONE,L1_SingleJet90/0
251121,1,10,65537,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/65537
253947,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253948,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253950,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
253954,1,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
253954,6,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254226,18,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254290,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254292,1,10,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254306,1,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254306,7,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254306,10,1,4000,HLT_PFJet140_v2/4,ONE,L1_SingleJet92/1000
254306,11,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
254307,1,11,50,HLT_PFJet140_v2/1,ONE,L1_SingleJet92/50
257805,1,5,2400,HLT_PFJet140_v3/3,ONE,L1_SingleJet92/800
259636,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259636,2,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259636,6,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259636,7,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259636,51,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259637,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259637,4,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259686,1,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259683,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259685,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259685,400,5,400,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/400
259682,1,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
259681,1,1,3000,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/3000
259681,5,4,700,HLT_PFJet140_v4/1,ONE,L1_SingleJet92/700
